sessionId,vis,reported,truth,error
oe78pfv48p0k0q955s2nm,Bar,45,42.96498904,1.111038631
oe78pfv48p0k0q955s2nm,Pie,50,43.71741531,2.679780641
oe78pfv48p0k0q955s2nm,Pie,75,62.94146867,3.606860446
oe78pfv48p0k0q955s2nm,Bar,40,44.17879635,2.105609814
oe78pfv48p0k0q955s2nm,Bar,75,73.33302444,0.8415509599
oe78pfv48p0k0q955s2nm,Pie,55,46.92084032,3.036355571
oe78pfv48p0k0q955s2nm,Pie,60,62.54541635,1.417064691
oe78pfv48p0k0q955s2nm,Pie,50,62.56761498,3.665917424
oe78pfv48p0k0q955s2nm,Bar,25,22.1268965,1.58405019
oe78pfv48p0k0q955s2nm,Bar,35,33.83621837,0.3660078302
oe78pfv48p0k0q955s2nm,Pie,25,27.50955065,1.397556915
oe78pfv48p0k0q955s2nm,Bar,40,40.02748213,0
oe78pfv48p0k0q955s2nm,Bubble,40,35.11756658,2.324071333
oe78pfv48p0k0q955s2nm,Bar,45,43.7395829,0.4703203835
oe78pfv48p0k0q955s2nm,Pie,40,47.05350983,2.84368439
oe78pfv48p0k0q955s2nm,Bar,80,80.45352887,0
oe78pfv48p0k0q955s2nm,Bubble,95,86.51762369,3.105573543
oe78pfv48p0k0q955s2nm,Pie,50,48.64384401,0.5667235854
oe78pfv48p0k0q955s2nm,Bubble,50,53.7308573,1.947051659
oe78pfv48p0k0q955s2nm,Pie,90,71.21377628,4.241170816
oe78pfv48p0k0q955s2nm,Bar,40,33.90838752,2.636128649
oe78pfv48p0k0q955s2nm,Bubble,95,81.29992689,3.789215205
oe78pfv48p0k0q955s2nm,Pie,30,40.06563288,3.349171747
oe78pfv48p0k0q955s2nm,Bubble,75,63.3645529,3.555871003
mawwdee0qdkf33haft4jr6,Pie,95,63.89297564,4.964954178
mawwdee0qdkf33haft4jr7,Bar,95,79.96257031,3.922429051
mawwdee0qdkf33haft4jr8,Bar,95,76.87100475,4.190140356
mawwdee0qdkf33haft4jr9,Bubble,100,97.84887441,1.186580161
mawwdee0qdkf33haft4jr10,Bar,80,51.79328498,4.824346031
mawwdee0qdkf33haft4jr11,Bubble,25,20.91269693,2.07460924
mawwdee0qdkf33haft4jr12,Pie,90,59.43061324,4.939902942
mawwdee0qdkf33haft4jr13,Pie,25,31.24781446,2.671930658
mawwdee0qdkf33haft4jr14,Pie,75,45.22713675,4.901970476
mawwdee0qdkf33haft4jr15,Pie,50,53.00678912,1.646987072
mawwdee0qdkf33haft4jr16,Pie,90,69.18973284,4.387863423
mawwdee0qdkf33haft4jr17,Bubble,75,23.34224612,5.694399787
mawwdee0qdkf33haft4jr18,Bubble,80,65.38891724,3.881281164
mawwdee0qdkf33haft4jr19,Pie,10,30.22359417,4.346857221
mawwdee0qdkf33haft4jr20,Bubble,95,55.75848274,5.298897178
mawwdee0qdkf33haft4jr21,Bar,25,32.39296254,2.910341726
mawwdee0qdkf33haft4jr22,Pie,90,74.05832732,4.00599928
mawwdee0qdkf33haft4jr23,Pie,25,35.36414109,3.390824641
mawwdee0qdkf33haft4jr24,Bubble,100,97.13557035,1.579870259
mawwdee0qdkf33haft4jr25,Bar,25,22.12294708,1.585949408
mawwdee0qdkf33haft4jr26,Bubble,95,78.04166431,4.094517797
mawwdee0qdkf33haft4jr27,Pie,90,90.22268502,0
mawwdee0qdkf33haft4jr28,Bar,75,28.24999902,5.550746815
mawwdee0qdkf33haft4jr29,Pie,80,53.04133539,4.759351054
mawwdee0qdkf33haft4jr30,Pie,100,95.58868207,2.181521756
mawwdee0qdkf33haft4jr31,Bar,75,37.36161298,5.238916262
mawwdee0qdkf33haft4jr32,Bubble,100,78.95593565,4.4038856
mawwdee0qdkf33haft4jr33,Bar,50,31.81477038,4.194577978
mawwdee0qdkf33haft4jr34,Bar,95,90.98629535,2.049179298
